"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Vivas, Jorbit","678391","NYY","147","2B","24","L","0.00","0.55","0.86","1.12","1.35","1.58","1.78","1.99","2.18","2.37","2.56","2.75","2.93","3.11","3.29","3.48","3.66","3.88","4.16"
"Volpe, Anthony","683011","NYY","147","SS","24","R","0.00","0.54","0.85","1.11","1.34","1.56","1.77","1.96","2.16","2.34","2.52","2.70","2.88","3.05","3.23","3.40","3.57","3.75","3.93"
"Vázquez, Christian","543877","MIN","142","C","34","R","0.00","0.57","0.91","1.20","1.46","1.71","1.94","2.15","2.37","2.58","2.78","2.98","3.18","3.38","3.58","3.78","3.98","4.19","4.41"
"Vázquez, Luis","676679","BAL","110","SS","25","R","0.00","0.55","0.88","1.14","1.39","1.61","1.82","2.02","2.22","2.41","2.59","2.77","2.95","3.13","3.31","3.48","3.66","3.84","4.02"
"Wade Jr., LaMonte","664774","LAA","108","1B","31","L","0.00","0.53","0.84","1.11","1.35","1.59","1.80","2.01","2.22","2.42","2.61","2.80","2.99","3.18","3.37","3.56","3.75","3.96","4.18"
"Wade, Tyler","642180","SD","135","CF","30","L","0.00","0.53","0.83","1.09","1.32","1.54","1.74","1.94","2.13","2.32","2.50","2.68","2.85","3.03","3.20","3.37","3.55","3.73","3.92"
"Wagaman, Eric","676572","MIA","146","1B","27","R","0.00","0.56","0.89","1.17","1.41","1.64","1.86","2.06","2.26","2.46","2.65","2.84","3.02","3.20","3.38","3.56","3.75","3.93","4.12"
"Wagner, Will","695238","SD","135","3B","26","L","0.00","0.55","0.86","1.13","1.37","1.59","1.80","2.01","2.21","2.40","2.59","2.77","2.96","3.14","3.31","3.49","3.67","3.85","4.04"
"Walker, Christian","572233","HOU","117","1B","34","R","0.00","0.55","0.88","1.15","1.40","1.63","1.85","2.06","2.27","2.47","2.66","2.85","3.04","3.22","3.40","3.59","3.77","3.96","4.15"
"Walker, Jordan","691023","STL","138","RF","23","R","0.00","0.55","0.86","1.12","1.35","1.56","1.77","1.97","2.16","2.34","2.52","2.70","2.87","3.05","3.22","3.39","3.56","3.72","3.90"
"Wallner, Matt","670242","MIN","142","RF","27","L","0.00","0.55","0.86","1.12","1.36","1.58","1.79","1.99","2.19","2.38","2.56","2.75","2.93","3.11","3.29","3.47","3.65","3.83","4.03"
"Walls, Taylor","670764","TB","139","SS","28","R","0.00","0.56","0.87","1.14","1.37","1.59","1.80","2.00","2.19","2.38","2.57","2.74","2.92","3.10","3.27","3.44","3.61","3.79","3.97"
"Walls, Taylor","670764","TB","139","SS","28","L","0.00","0.53","0.82","1.08","1.31","1.52","1.72","1.92","2.11","2.30","2.48","2.66","2.83","3.01","3.18","3.35","3.53","3.70","3.89"
"Ward, Taylor","621493","LAA","108","LF","31","R","0.00","0.55","0.87","1.13","1.37","1.59","1.80","2.00","2.20","2.38","2.57","2.75","2.93","3.10","3.28","3.45","3.62","3.79","3.97"
"Waters, Drew","671221","KC","118","LF","26","L","0.00","0.53","0.83","1.09","1.32","1.54","1.74","1.94","2.13","2.32","2.51","2.69","2.86","3.04","3.22","3.40","3.57","3.76","3.94"
"Wells, Austin","669224","NYY","147","C","25","L","0.00","0.55","0.86","1.13","1.37","1.60","1.81","2.02","2.22","2.41","2.61","2.79","2.98","3.16","3.35","3.53","3.71","3.89","4.08"
"Westburg, Jordan","676059","BAL","110","3B","26","R","0.00","0.57","0.88","1.13","1.37","1.58","1.78","1.97","2.16","2.35","2.52","2.70","2.87","3.04","3.21","3.38","3.55","3.72","3.90"
"White, Eli","642201","ATL","144","RF","31","R","0.00","0.54","0.85","1.11","1.34","1.55","1.75","1.94","2.13","2.31","2.48","2.66","2.82","2.99","3.16","3.32","3.48","3.64","3.81"
"Wiemer, Joey","686894","MIA","146","RF","26","R","0.00","0.54","0.85","1.11","1.35","1.57","1.77","1.97","2.16","2.35","2.53","2.72","2.89","3.07","3.24","3.41","3.58","3.75","3.93"
"Williams, Carson","700246","TB","139","SS","22","R","0.00","0.54","0.85","1.11","1.34","1.55","1.76","1.96","2.15","2.33","2.52","2.70","2.87","3.05","3.22","3.39","3.56","3.74","3.92"
"Williamson, Ben","810938","SEA","136","3B","24","R","0.00","0.55","0.86","1.13","1.36","1.59","1.79","2.00","2.19","2.38","2.56","2.75","2.93","3.10","3.28","3.45","3.62","3.80","3.98"
"Wilson, Jacob","805779","ATH","133","SS","23","R","0.00","0.56","0.90","1.17","1.41","1.64","1.86","2.06","2.26","2.46","2.65","2.83","3.02","3.20","3.38","3.56","3.74","3.92","4.11"
"Wilson, Weston","642215","PHI","143","LF","30","R","0.00","0.55","0.87","1.14","1.38","1.60","1.81","2.01","2.20","2.39","2.58","2.76","2.94","3.11","3.29","3.47","3.64","3.81","4.00"
"Winn, Masyn","691026","STL","138","SS","23","R","0.00","0.55","0.86","1.11","1.35","1.56","1.77","1.96","2.16","2.34","2.52","2.70","2.87","3.05","3.22","3.39","3.56","3.72","3.90"
"Witt Jr., Bobby","677951","KC","118","SS","25","R","0.00","0.54","0.85","1.10","1.33","1.54","1.74","1.93","2.11","2.29","2.46","2.63","2.80","2.96","3.12","3.29","3.45","3.61","3.77"
"Wong, Connor","657136","BOS","111","C","29","R","0.00","0.56","0.87","1.14","1.38","1.60","1.81","2.01","2.21","2.40","2.58","2.77","2.94","3.12","3.30","3.47","3.65","3.83","4.01"
"Wood, James","695578","WSH","120","LF","22","L","0.00","0.54","0.85","1.10","1.33","1.55","1.75","1.94","2.13","2.31","2.49","2.67","2.84","3.02","3.19","3.36","3.53","3.71","3.90"
"Wynns, Austin","642851","ATH","133","C","34","R","0.00","0.59","0.93","1.22","1.48","1.73","1.96","2.18","2.40","2.61","2.82","3.02","3.22","3.42","3.62","3.82","4.02","4.24","4.46"
"Yastrzemski, Mike","573262","KC","118","RF","34","L","0.00","0.53","0.83","1.09","1.32","1.54","1.75","1.95","2.14","2.33","2.52","2.70","2.88","3.06","3.24","3.42","3.60","3.78","3.98"
"Yelich, Christian","592885","MIL","158","DH","33","L","0.00","0.54","0.83","1.09","1.32","1.54","1.75","1.94","2.13","2.32","2.50","2.68","2.85","3.02","3.20","3.37","3.54","3.72","3.91"
"Yorke, Nick","694377","PIT","134","2B","23","R","0.00","0.55","0.87","1.14","1.38","1.60","1.81","2.01","2.21","2.40","2.59","2.77","2.95","3.13","3.30","3.48","3.65","3.82","4.01"
"Yoshida, Masataka","807799","BOS","111","DH","31","L","0.00","0.55","0.87","1.13","1.38","1.61","1.82","2.03","2.23","2.43","2.62","2.81","3.00","3.19","3.37","3.56","3.74","3.93","4.14"
"Young, Cole","702284","SEA","136","2B","21","L","0.00","0.54","0.86","1.12","1.36","1.58","1.78","1.98","2.17","2.36","2.54","2.72","2.90","3.07","3.25","3.42","3.60","3.78","3.95"
"Young, Jacob","696285","WSH","120","CF","25","R","0.00","0.57","0.89","1.15","1.38","1.60","1.80","2.00","2.18","2.37","2.54","2.72","2.89","3.06","3.22","3.39","3.55","3.72","3.89"
"d'Arnaud, Travis","518595","LAA","108","C","36","R","0.00","0.57","0.90","1.18","1.44","1.68","1.90","2.11","2.32","2.52","2.72","2.91","3.10","3.29","3.48","3.66","3.85","4.04","4.24"
